id,link,operation,address,size,dorms,toilets,garage,price,additional_costs
2708376438.0,https://www.vivareal.com.br/imovel/sala-comercial-pinheiros-sao-paulo-com-garagem-120m2-aluguel-RS7800-id-2708376438/,renting,"Rua Cardeal Arcoverde - Pinheiros, São Paulo",120 m²,,2,2,R$ 7.800/mês,Cond. R$ 2.616 • IPTU R$ 1.196
2652809458.0,https://www.vivareal.com.br/imovel/sala-comercial-indianopolis-sao-paulo-com-garagem-205m2-aluguel-RS15376-id-2652809458/,renting,"Avenida Ibirapuera - Indianópolis, São Paulo",205 m²,,5,5,R$ 15.376/mês,Cond. R$ 1.500 • IPTU R$ 1.001
,,renting,"Rua Alvorada - Vila Olímpia, São Paulo",700 m²,,3-5,4-5,R$ 36.000/mês,IPTU R$ 6.431
,,renting,"Rua Peixoto Gomide - Jardim Paulista, São Paulo",51 m²,,1,0-1,R$ 3.700/mês,Cond. R$ 1.522 • IPTU R$ 488
2792164828.0,https://www.vivareal.com.br/imovel/apartamento-1-quartos-sumarezinho-sao-paulo-com-garagem-78m2-aluguel-RS4997-id-2792164828/,renting,"Rua Paulistânia - Sumarezinho, São Paulo",78 m²,1,2,1,R$ 4.997/mês,Cond. R$ 1.210 • IPTU R$ 286
,,renting,"Alameda Ministro Rocha Azevedo - Cerqueira César, São Paulo",100 m²,2,1-4,1,R$ 8.500/mês,Cond. R$ 1.495 • IPTU R$ 495
2753196193.0,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-arpoador-sao-paulo-com-garagem-95m2-aluguel-RS4999-id-2753196193/,renting,"Rodovia Raposo Tavares - Jardim Arpoador, São Paulo",95 m²,3,4,2,R$ 4.999/mês,Cond. R$ 840 • IPTU R$ 419
2567575053.0,https://www.vivareal.com.br/imovel/sala-comercial-cidade-moncoes-sao-paulo-com-garagem-165m2-aluguel-RS7200-id-2567575053/,renting,"Rua Flórida - Cidade Monções, São Paulo",165 m²,,4,3,R$ 7.200/mês,Cond. R$ 3.154 • IPTU R$ 1.693
,,renting,"Rua Celso Ramos - Vila Andrade, São Paulo",69 m²,2-3,1-3,2,R$ 4.500/mês,Cond. R$ 800 • IPTU R$ 50
2792415014.0,https://www.vivareal.com.br/imovel/apartamento-1-quartos-itaim-bibi-sao-paulo-com-garagem-47m2-aluguel-RS6995-id-2792415014/,renting,"Rua Urussuí - Itaim Bibi, São Paulo",47 m²,1,1,1,R$ 6.995/mês,Cond. R$ 1.180 • IPTU R$ 150
2667067212.0,https://www.vivareal.com.br/imovel/sala-comercial-pinheiros-sao-paulo-com-garagem-127m2-aluguel-RS11500-id-2667067212/,renting,"Avenida Pedroso de Morais - Pinheiros, São Paulo",127 m²,,2,4,R$ 11.500/mês,Cond. R$ 5.022 • IPTU R$ 1.934
2706961364.0,https://www.vivareal.com.br/imovel/sala-comercial-cerqueira-cesar-sao-paulo-125m2-aluguel-RS12000-id-2706961364/,renting,"Alameda Santos - Cerqueira César, São Paulo",125 m²,,2,,R$ 12.000/mês,Cond. R$ 4.300 • IPTU R$ 2.362
2634303792.0,https://www.vivareal.com.br/imovel/flat-1-quartos-vila-olimpia-sao-paulo-com-garagem-43m2-aluguel-RS4960-id-2634303792/,renting,"Avenida Doutor Cardoso de Melo - Vila Olímpia, São Paulo",43 m²,1,1,1,R$ 4.960/mês,Cond. R$ 850 • IPTU R$ 190
,,renting,"Rua Surubim - Cidade Monções, São Paulo",136 m²,,0-4,4,R$ 13.000/mês,Cond. R$ 3.676 • IPTU R$ 1.458
2651389499.0,https://www.vivareal.com.br/imovel/sala-comercial-pinheiros-sao-paulo-com-garagem-208m2-aluguel-RS15602-id-2651389499/,renting,"Rua Teodoro Sampaio - Pinheiros, São Paulo",208 m²,,4,6,R$ 15.602/mês,Cond. R$ 2.080 • IPTU R$ 1.457
2639825101.0,https://www.vivareal.com.br/imovel/sala-comercial-vila-sao-francisco-zona-sul-sao-paulo-com-garagem-258m2-aluguel-RS15000-id-2639825101/,renting,"Avenida Doutor Chucri Zaidan - Vila São Francisco (Zona Sul), São Paulo",258 m²,,4,4,R$ 15.000/mês,Cond. R$ 2.709 • IPTU R$ 1.419
2583339311.0,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-220m2-aluguel-RS16001-id-2583339311/,renting,"Rua Gomes de Carvalho - Vila Olímpia, São Paulo",220 m²,,7,8,R$ 16.001/mês,Cond. R$ 4.070 • IPTU R$ 2.371
2623973291.0,https://www.vivareal.com.br/imovel/sobrado-3-quartos-vila-guilhermina-sao-paulo-com-garagem-210m2-venda-RS915000-id-2623973291/,renting," - Vila Guilhermina, São Paulo",210 m²,3,2,3,R$ 4.600/mês,IPTU R$ 285
2709656081.0,https://www.vivareal.com.br/imovel/sala-comercial-vila-mariana-sao-paulo-com-garagem-135m2-venda-RS4000000-id-2709656081/,renting,"Rua Cubatão - Vila Mariana, São Paulo",135 m²,,2,3,R$ 12.000/mês,Cond. R$ 3.000 • IPTU R$ 2.100
2711175871.0,https://www.vivareal.com.br/imovel/predio-comercial-vila-mariana-sao-paulo-com-garagem-5172m2-venda-RS25000000-id-2711175871/,renting,"Rua Vergueiro - Vila Mariana, São Paulo",5172 m²,,,51,R$ 150.000/mês,IPTU R$ 24.495
