id,link,title,operation,address,size,dorms,toilets,garage,price,additional_costs,features,type,street,neighborhood,city,state,latitude,longitude
2736592250,https://www.vivareal.com.br/imovel/sobrado-3-quartos-vila-oratorio-zona-leste-sao-paulo-com-garagem-142m2-venda-RS750000-id-2736592250/,"Casa com 3 Quartos à Venda, 142m²",selling,"Rua São Pompônio - Vila Oratório, São Paulo - SP",142,3,3,2,750000,0,Churrasqueira,Casa,Rua São Pompônio,Vila Oratório,São Paulo,SP,-23.6672825,-46.4519207
2673966382,https://www.vivareal.com.br/imovel/casa-5-quartos-morumbi-zona-sul-sao-paulo-com-garagem-774m2-venda-RS7800000-id-2673966382/,"Casa com 5 Quartos à Venda, 774m²",selling,"Rua Rubens do Amaral - Morumbi, São Paulo - SP",774,5,9,12,7800000,0,"Armário embutido, Churrasqueira, Quintal",Casa,Rua Rubens do Amaral,Morumbi,São Paulo,SP,-23.5964988,-46.7178446
2730160931,https://www.vivareal.com.br/imovel/sobrado-4-quartos-jardim-japao-zona-norte-sao-paulo-com-garagem-150m2-venda-RS750000-id-2730160931/,"Casa com 4 Quartos à Venda, 150m²",selling,"Rua Melo Viana - Jardim Japão, São Paulo - SP",150,4,3,3,750000,0,"Cozinha, Depósito, Varanda, Área de serviço",Casa,Rua Melo Viana,Jardim Japão,São Paulo,SP,-23.5021791,-46.5808888
2577944201,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-paulista-zona-sul-sao-paulo-com-garagem-239m2-venda-RS2500000-id-2577944201/,Apartamento com 3 Quartos para Venda/Aluguel 239m²,selling,"Alameda Jaú - Jardim Paulista, São Paulo - SP",239,3,3,1,2500000,3000,,Apartamento,Alameda Jaú,Jardim Paulista,São Paulo,SP,-23.5652185,-46.6601846
2740223301,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-guarani-zona-sul-zona-sul-sao-paulo-com-garagem-65m2-venda-RS420000-id-2740223301/,"Apartamento com 2 Quartos à Venda, 65m²",selling,"Rua Mucuri, 63 - Vila Guarani Zona Sul, São Paulo - SP",65,2,2,1,420000,1123,"Garagem, Condomínio fechado",Apartamento,Rua Mucuri,Vila Guarani Zona Sul,São Paulo,SP,-23.5475,-46.63611
2672585688,https://www.vivareal.com.br/imovel/apartamento-2-quartos-moema-zona-sul-sao-paulo-com-garagem-74m2-venda-RS1250000-id-2672585688/,"Apartamento com 2 Quartos à Venda, 74m²",selling,"Rua Inhambú, 2 - Moema, São Paulo - SP",74,2,2,1,1250000,1500,"Elevador, Interfone, Escritório, Aceita animais",Apartamento,Rua Inhambú,Moema,São Paulo,SP,-23.597085,-46.6628884
2682201603,https://www.vivareal.com.br/imovel/sobrado-3-quartos-jardim-vila-formosa-zona-leste-sao-paulo-com-garagem-90m2-venda-RS450000-id-2682201603/,"Casa com 3 Quartos à Venda, 90m²",selling,"Jardim Vila Formosa, São Paulo - SP",90,3,1,2,450000,0,"Cozinha, Lavanderia",Casa,Jardim Vila Formosa,Jardim Vila Formosa,São Paulo,SP,-23.77806,-45.35806
2495045333,https://www.vivareal.com.br/imovel/casa-2-quartos-vila-maria-zona-norte-sao-paulo-com-garagem-199m2-venda-RS800000-id-2495045333/,"Casa com 2 Quartos à Venda, 199m²",selling,"Vila Maria, São Paulo - SP",199,2,2,2,800000,0,,Casa,Vila Maria,Vila Maria,São Paulo,SP,-23.5131836,-46.5891557
2518272404,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-sao-vicente-zona-norte-sao-paulo-com-garagem-65m2-venda-RS350000-id-2518272404/,"Apartamento com 2 Quartos à Venda, 65m²",selling,"Rua Izabel Velho - Vila São Vicente, São Paulo - SP",65,2,2,1,350000,650,"Garagem, Cozinha, Interfone, Salão de festas, Área de serviço",Apartamento,Rua Izabel Velho,Vila São Vicente,São Paulo,SP,-23.5161908,-47.4907895
2518830680,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-parque-jabaquara-zona-sul-sao-paulo-com-garagem-45m2-venda-RS320000-id-2518830680/,"Apartamento com 2 Quartos à Venda, 45m²",selling,"Rua Alba - Vila Parque Jabaquara, São Paulo - SP",45,2,1,1,320000,420,"Varanda, Churrasqueira, Playground, Salão de festas",Apartamento,Rua Alba,Vila Parque Jabaquara,São Paulo,SP,-23.6300311,-46.6381046
