id,page_id,scrapping_date,link,title,operation,address,size,dorms,toilets,garage,price,additional_costs,features,type,street,neighborhood,city,state,latitude,longitude
166,2716573029,27-09-2024,https://www.vivareal.com.br/imovel/sobrado-2-quartos-jardim-felicidade-zona-oeste-zona-oeste-sao-paulo-com-garagem-70m2-aluguel-RS2200-id-2716573029/,"Casa com 2 Quartos para Aluguel, 70m²",renting,"Rua Tatsuo Okachi - Jardim Felicidade Zona Oeste, São Paulo - SP",70,2,2,1,2200,0,"Cozinha, Lavanderia, Quintal",Casa,Rua Tatsuo Okachi,Jardim Felicidade Zona Oeste,São Paulo,SP,-23.5475,-46.63611
167,2736935219,27-09-2024,https://www.vivareal.com.br/imovel/casa-2-quartos-americanopolis-zona-sul-sao-paulo-com-garagem-52m2-aluguel-RS1600-id-2736935219/,"Casa com 2 Quartos para Aluguel, 52m²",renting,"Rua Valdemar Pedroso - Americanópolis, São Paulo - SP",52,2,2,1,1600,173,,Casa,Rua Valdemar Pedroso,Americanópolis,São Paulo,SP,-23.6815392,-46.6554326
168,2455831035,27-09-2024,https://www.vivareal.com.br/imovel/apartamento-3-quartos-cerqueira-cesar-centro-sao-paulo-com-garagem-114m2-aluguel-RS4500-id-2455831035/,"Apartamento com 3 Quartos para Aluguel, 114m²",renting,"Rua Haddock Lobo, 971 - Cerqueira César, São Paulo - SP",114,3,3,1,4500,1425,"Elevador, Salão de festas, Ar-condicionado",Apartamento,Rua Haddock Lobo,Cerqueira César,São Paulo,SP,-23.5610386,-46.6657633
187,2741231057,27-09-2024,https://www.vivareal.com.br/imovel/sobrado-3-quartos-vila-nova-alba-zona-oeste-sao-paulo-com-garagem-180m2-aluguel-RS3000-id-2741231057/,"Casa com 3 Quartos para Aluguel, 180m²",renting,"Rua João Francisco de Mello - Vila Nova Alba, São Paulo - SP",180,3,2,2,3000,0,,Casa,Rua João Francisco de Mello,Vila Nova Alba,São Paulo,SP,-23.5475,-46.63611
169,2739379624,27-09-2024,https://www.vivareal.com.br/imovel/apartamento-1-quartos-alto-da-lapa-zona-oeste-sao-paulo-com-garagem-47m2-aluguel-RS2600-id-2739379624/,"Apartamento com Quarto para Aluguel, 47m²",renting,"Avenida Diógenes Ribeiro de Lima - Alto da Lapa, São Paulo - SP",47,1,2,1,2600,250,"Ar-condicionado, Elevador, Interfone, Área de serviço, Aceita animais",Apartamento,Avenida Diógenes Ribeiro de Lima,Alto da Lapa,São Paulo,SP,-23.5273913,-46.7130594
170,2708091267,27-09-2024,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-carrao-zona-leste-sao-paulo-com-garagem-68m2-venda-RS370000-id-2708091267/,Apartamento com 2 Quartos para Venda/Aluguel 68m²,renting,"Rua Mariano de Sousa - Vila Carrão, São Paulo - SP",68,2,1,1,2000,784,"Cozinha, Lavanderia, Aceita animais",Apartamento,Rua Mariano de Sousa,Vila Carrão,São Paulo,SP,-23.5498671,-46.5385802
171,2738413727,27-09-2024,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-40m2-aluguel-RS1350-id-2738413727/,"Apartamento com Quarto para Aluguel, 40m²",renting,"Rua Santo Antônio - Bela Vista, São Paulo - SP",40,1,1,1,1350,702,"Cozinha, Garagem, Condomínio fechado, Área de serviço",Apartamento,Rua Santo Antônio,Bela Vista,São Paulo,SP,-23.5601219,-46.6500338
172,2736228210,27-09-2024,https://www.vivareal.com.br/imovel/apartamento-3-quartos-parque-reboucas-zona-sul-sao-paulo-com-garagem-87m2-aluguel-RS4300-id-2736228210/,"Apartamento com 3 Quartos para Aluguel, 87m²",renting,"Rua João Simões de Souza, 268 - Parque Rebouças, São Paulo - SP",87,3,3,2,4300,770,,Apartamento,Rua João Simões de Souza,Parque Rebouças,São Paulo,SP,-21.2128354,-47.7901803
173,2741448465,27-09-2024,https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-alto-da-boa-vista-zona-sul-sao-paulo-com-garagem-298m2-aluguel-RS8000-id-2741448465/,"Casa de condomínio com 3 Quartos para Aluguel, 298m²",renting,"Rua São Benedito, 1250 - Alto Da Boa Vista, São Paulo - SP",298,3,4,3,8000,3000,"Churrasqueira, Cozinha, Piscina",Casa,Rua São Benedito,Alto Da Boa Vista,São Paulo,SP,-23.641295,-46.6991695
174,2686834762,27-09-2024,https://www.vivareal.com.br/imovel/casa-3-quartos-chacara-california-zona-leste-sao-paulo-com-garagem-270m2-aluguel-RS15000-id-2686834762/,"Casa com 3 Quartos para Aluguel, 270m²",renting,"Rua Doutor Luís Carlos, 1198 - Chácara Califórnia, São Paulo - SP",270,3,3,3,15000,0,"Piscina, Jardim, Churrasqueira, Salão de festas, Aceita animais",Casa,Rua Doutor Luís Carlos,Chácara Califórnia,São Paulo,SP,-21.8006898,-48.1943456
