id,link,operation,size,dorms,toilets,garage,price,additional_costs,scraping_date,type,street,neighborhood,city,latitude,longitude
2785793651,https://www.vivareal.com.br/imovel/sala-comercial-brooklin-paulista-sao-paulo-com-garagem-65m2-venda-RS950000-id-2785793651/,renting,65,0,2,2,5000,1902,2025-04-01,Sala/Conjunto,Rua Ribeiro do Vale,Brooklin Paulista,São Paulo,-23.61262,-46.687792
0,0,renting,77,1,2,2,6600,1081,2025-04-01,Apartamento,Rua Américo Brasiliense,Alto da Boa Vista,São Paulo,-21.1803658,-47.8056714
0,0,renting,2290,1,6,30,200100,28014,2025-04-01,Imóvel comercial,Rua Bela Cintra,Consolação,São Paulo,-23.5553601,-46.6606577
0,0,renting,45,1,1,1,3100,715,2025-04-01,Apartamento,Praça Barão de Itaqui,Vila Gomes Cardim,São Paulo,-23.54036675,-46.568056850000005
2791754713,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-das-merces-sao-paulo-com-garagem-57m2-venda-RS395000-id-2791754713/,renting,57,2,2,1,2650,590,2025-04-01,Apartamento,Rua Dom Vilares,Vila das Mercês,São Paulo,-23.624311,-46.6051814
2791763732,https://www.vivareal.com.br/imovel/casa-1-quartos-saude-sao-paulo-60m2-aluguel-RS1500-id-2791763732/,renting,60,1,1,0,1500,510,2025-04-01,Casa,Rua Doutor Samuel Porto,Saúde,São Paulo,-23.6151341,-46.639629
2792101719,https://www.vivareal.com.br/imovel/sala-comercial-bras-sao-paulo-35m2-aluguel-RS1500-id-2792101719/,renting,35,0,1,0,1500,0,2025-04-01,Sala/Conjunto,Rua Correia de Andrade,Brás,São Paulo,-23.5427851,-46.6199894
2792069066,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-das-vertentes-sao-paulo-75m2-aluguel-RS3000-id-2792069066/,renting,75,2,2,0,3000,760,2025-04-01,Apartamento,Avenida Albert Bartholome,Jardim das Vertentes,São Paulo,-23.591984,-46.740058
2792202064,https://www.vivareal.com.br/imovel/casa-1-quartos-vila-siqueira-zona-norte-sao-paulo-com-garagem-40m2-aluguel-RS1350-id-2792202064/,renting,40,1,1,1,1350,0,2025-04-01,Casa,0,Vila Siqueira (Zona Norte),São Paulo,-23.549252,-46.588615
2792143820,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-siqueira-zona-norte-sao-paulo-com-garagem-40m2-venda-RS360000-id-2792143820/,renting,40,2,1,1,2120,450,2025-04-01,Apartamento,Avenida Sebastião Henriques,Vila Siqueira (Zona Norte),São Paulo,-23.570533,-46.663713
2792167121,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-moraes-sao-paulo-49m2-aluguel-RS1700-id-2792167121/,renting,49,2,1,0,1700,400,2025-04-01,Apartamento,Rua Angaturama,Vila Moraes,São Paulo,-23.499237,-46.594846
0,0,renting,137,3,3,2,13800,2381,2025-04-01,Apartamento,Rua Bela Vista,Santo Amaro,São Paulo,-23.6312483,-46.695523
2792184832,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-ema-sao-paulo-40m2-aluguel-RS2200-id-2792184832/,renting,40,2,1,0,2200,289,2025-04-01,Apartamento,Avenida Vila Ema,Vila Ema,São Paulo,-23.588124,-46.54381
2791812517,https://www.vivareal.com.br/imovel/apartamento-2-quartos-quarta-parada-sao-paulo-com-garagem-66m2-aluguel-RS2950-id-2791812517/,renting,66,2,1,1,2950,1095,2025-04-01,Apartamento,Rua João Soares,Quarta Parada,São Paulo,-23.570533,-46.663713
2791707339,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-esmeralda-sao-paulo-com-garagem-58m2-aluguel-RS2300-id-2791707339/,renting,58,2,2,1,2300,604,2025-04-01,Apartamento,Rua Doutor João Vieira Neves,Jardim Esmeralda,São Paulo,-20.301508,-51.049235
2792073917,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-esmeralda-sao-paulo-com-garagem-60m2-aluguel-RS3200-id-2792073917/,renting,60,2,1,1,3200,818,2025-04-01,Apartamento,Avenida Engenheiro Heitor Antônio Eiras Garcia,Jardim Esmeralda,São Paulo,-20.301508,-51.049235
2792069872,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-esmeralda-sao-paulo-com-garagem-60m2-aluguel-RS3300-id-2792069872/,renting,60,2,1,1,3300,820,2025-04-01,Apartamento,Avenida Engenheiro Heitor Antônio Eiras Garcia,Jardim Esmeralda,São Paulo,-20.301508,-51.049235
2792127416,https://www.vivareal.com.br/imovel/kitnet-1-quartos-jaguare-sao-paulo-com-garagem-20m2-aluguel-RS1300-id-2792127416/,renting,20,1,1,1,1300,0,2025-04-01,Apartamento,Rua Francisco Pedro do Amaral,Jaguaré,São Paulo,-23.5498325,-46.7468499
0,0,renting,300,1,5,0,30100,2385,2025-04-01,Imóvel comercial,Rua Doutor Diogo de Faria,Vila Clementino,São Paulo,-23.5956004,-46.6451745
