id,link,operation,size,dorms,toilets,garage,price,additional_costs,type,street,neighborhood,city,latitude,longitude
2791870113,https://www.vivareal.com.br/imovel/casa-1-quartos-vila-das-merces-sao-paulo-35m2-aluguel-RS1200-id-2791870113/,renting,35,1,1,0,1200,0,Casa,Travessa Saúde,Vila das Mercês,São Paulo,0.0,0.0
2579967002,https://www.vivareal.com.br/imovel/sala-comercial-itaim-bibi-sao-paulo-com-garagem-260m2-aluguel-RS28600-id-2579967002/,renting,260,0,6,10,28600,6800,Sala/Conjunto,Rua Joaquim Floriano,Itaim Bibi,São Paulo,0.0,0.0
2790972529,https://www.vivareal.com.br/imovel/predio-comercial-jardim-virginia-bianca-sao-paulo-60m2-aluguel-RS2000-id-2790972529/,renting,60,0,1,0,2000,0,Prédio/Edificio inteiro,Rua Antônio Joaquim de Oliveira,Jardim Virginia Bianca,São Paulo,0.0,0.0
2791843759,https://www.vivareal.com.br/imovel/flat-1-quartos-moema-sao-paulo-com-garagem-55m2-aluguel-RS2800-id-2791843759/,renting,55,1,1,1,2800,1918,Flat,Avenida Ibijaú,Moema,São Paulo,0.0,0.0
2792017081,https://www.vivareal.com.br/imovel/kitnet-bela-vista-sao-paulo-40m2-aluguel-RS2000-id-2792017081/,renting,40,0,1,0,2000,0,Apartamento,Rua Santo Amaro,Bela Vista,São Paulo,0.0,0.0
2634295760,https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-sao-paulo-35m2-aluguel-RS1450-id-2634295760/,renting,35,1,1,0,1450,399,Apartamento,Rua Martins Fontes,Centro,São Paulo,0.0,0.0
2792341332,https://www.vivareal.com.br/imovel/sala-comercial-vila-clementino-sao-paulo-com-garagem-120m2-venda-RS1440000-id-2792341332/,renting,120,0,2,3,7500,4130,Sala/Conjunto,Rua Doutora Neyde Apparecida Sollitto,Vila Clementino,São Paulo,0.0,0.0
2792126223,https://www.vivareal.com.br/imovel/apartamento-3-quartos-pinheiros-sao-paulo-com-garagem-83m2-aluguel-RS7000-id-2792126223/,renting,83,3,2,2,7000,2158,Apartamento,Rua Arruda Alvim,Pinheiros,São Paulo,0.0,0.0
2583493273,https://www.vivareal.com.br/imovel/sala-comercial-cidade-moncoes-sao-paulo-com-garagem-130m2-aluguel-RS13002-id-2583493273/,renting,130,0,2,4,13002,2202,Sala/Conjunto,Rua Samuel Morse,Cidade Monções,São Paulo,0.0,0.0
2649974759,https://www.vivareal.com.br/imovel/ponto-comercial-jardim-paulista-sao-paulo-com-garagem-300m2-venda-RS4490000-id-2649974759/,renting,300,0,5,3,18000,2300,Ponto comercial/Loja/Box,Avenida Brigadeiro Luís Antônio,Jardim Paulista,São Paulo,0.0,0.0
