id,link,title,operation,address,size,dorms,toilets,garage,price,additional_costs
2791685519,https://www.vivareal.com.br/imovel/apartamento-1-quartos-aclimacao-sao-paulo-com-garagem-45m2-aluguel-RS2400-id-2791685519/,Apartamento para alugar ,renting,"Rua Loureiro da Cruz - Aclimação, São Paulo",45 m²,1,1,1,R$ 2.400/mês,Cond. R$ 747 • IPTU R$ 58
2791839017,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-das-vertentes-sao-paulo-22m2-venda-RS260000-id-2791839017/,Apartamento para alugar ,renting,"Rua Benedito Branco de Abreu - Jardim das Vertentes, São Paulo",22 m²,1,1,,R$ 2.100/mês,Cond. R$ 250
2778219412,https://www.vivareal.com.br/imovel/flat-1-quartos-jardim-paulista-sao-paulo-com-garagem-44m2-aluguel-RS3200-id-2778219412/,Flat para alugar ,renting,"Alameda Lorena - Jardim Paulista, São Paulo",44 m²,1,1,1,R$ 3.200/mês,Cond. R$ 900 • IPTU R$ 400
2791839219,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-das-vertentes-sao-paulo-22m2-venda-RS260000-id-2791839219/,Apartamento para alugar ,renting,"Rua Benedito Branco de Abreu - Jardim das Vertentes, São Paulo",22 m²,1,1,,R$ 2.100/mês,Cond. R$ 250
,,Apartamento para alugar ,renting,"Rua Manuel Guedes - Jardim Europa, São Paulo",97 m²,2,3,2,R$ 10.100/mês,Cond. R$ 2.043 • IPTU R$ 781
2775795819,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-170m2-aluguel-RS22100-id-2775795819/,Sala/Conjunto para alugar ,renting,"Avenida Doutor Cardoso de Melo - Vila Olímpia, São Paulo",170 m²,,4,4,R$ 22.100/mês,Cond. R$ 3.910 • IPTU R$ 1.700
,,Apartamento para alugar ,renting,"Rua Bela Cintra - Consolação, São Paulo",44 m²,1,1,1,R$ 2.300/mês,Cond. R$ 553 • IPTU R$ 57
,,Flat para alugar ,renting,"Avenida Aratãs - Indianópolis, São Paulo",42 m²,1,1,1,R$ 3.750/mês,Cond. R$ 600 • IPTU R$ 150
2791839019,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-das-vertentes-sao-paulo-22m2-venda-RS260000-id-2791839019/,Apartamento para alugar ,renting,"Rua Benedito Branco de Abreu - Jardim das Vertentes, São Paulo",22 m²,1,1,,R$ 2.100/mês,Cond. R$ 250
2791499252,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-leonor-sao-paulo-43m2-aluguel-RS1800-id-2791499252/,Apartamento para alugar ,renting,"Rua Jurumirim - Vila Leonor, São Paulo",43 m²,2,1,,R$ 1.800/mês,Cond. R$ 250 • IPTU R$ 130
